"Stiftung Universitäre Fernstudien Schweiz, Brig",SUFS,FernUni Schweiz,grid.508727.f,03w2cmy34,I4210139595,
Swiss UMEF,SUMEF,Swiss UMEF,,"032aw4s87
(Added to ROR  05NA24)",I4399657977,
Scuola universitaria professionale della Svizzera italiana SUPSI,SUPSI,University of Applied Sciences and Arts of Southern Switzerland,grid.16058.3a,05ep8g269,I15196421,openorgs____::0000000542
Scuola universitaria professionale della Svizzera italiana SUPSI,SUPSI,Swiss Distance University of Applied Sciences,grid.454265.4,01t75ff47,I4210116528,openorgs____::0000044325
Scuola universitaria professionale della Svizzera italiana SUPSI,SUPSI,Dalle Molle Institute for Artificial Intelligence Research,grid.469945.3,013355g38,I2614128279,openorgs____::0000059721
SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA,SUPSI-DFA,,,,,
Schweizerisches universitäres Institut für traditionelle chinesische Medizin SWISS TCM UNI,TCM UNI,Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,,"05e5yjs79
(Added to ROR  05NA24)",I4399598368,
Theologische Hochschule Chur,THCH,Theologische Hochschule Chur,grid.483675.b,0326ky169,I4210136385,openorgs____::0000073244
Universität Basel,UNIBAS,University Hospital of Basel,grid.410567.1,04k51q396,I2802542264,openorgs____::0000003279
Universität Basel,UNIBAS,University Children’s Hospital Basel,grid.412347.7,02nhqek82,I4210126115,openorgs____::0000004780
Universität Basel,UNIBAS,Universitäre Psychiatrische Kliniken Basel,grid.412556.1,05fw3jg78,I4210166749,openorgs____::0000004962
Universität Basel,UNIBAS,Swiss Tropical and Public Health Institute,grid.416786.a,03adhka07,I158937107,openorgs____::0000008787
Universität Basel,UNIBAS,Friedrich Miescher Institute,grid.482245.d,01bmjkv45,I860889466,openorgs____::0000071837
Universität Basel,UNIBAS,Department of Biomedicine Basel,grid.509969.a,03ybx0x41 (inactive) -> 02s6k3f65,,
Universität Basel,UNIBAS,Botnar Research Centre for Child Health,grid.513285.8,,,
Universität Basel,UNIBAS,University of Basel,grid.6612.3,02s6k3f65,I1850255,openorgs____::0000097873
Universität Bern UniBE,UniBE,University Hospital of Bern,grid.411656.1,01q9sj412,I2801112126,openorgs____::0000004168
Universität Bern UniBE,UniBE,Wiederkäuerklinik,grid.483699.9,003bz8x96,I4210087665,openorgs____::0000073267
Universität Bern UniBE,UniBE,University of Bern,grid.5734.5,02k7v4d05,I118564535,openorgs____::0000097739
Université de Fribourg Unifr,Unifr,HFR Freiburg Kantonsspital,grid.413366.5,00fz8k419,I4210093738,openorgs____::0000005675
Université de Fribourg Unifr,Unifr,Adolphe Merkle Institute,grid.478319.0,01yx62742,I4210110454,openorgs____::0000067954
